trial_number,solver,shrinkage,csp_components,fold,subject,accuracy,f1_score,roc_auc,support
10,lsqr,0.5,6,32,32,0.8409090909090909,0.8679245283018868,0.9544513457556937,44
10,lsqr,0.5,6,33,33,0.7111111111111111,0.6285714285714286,0.8557312252964427,45
10,lsqr,0.5,6,34,34,0.8666666666666667,0.8888888888888888,0.9801587301587301,45
10,lsqr,0.5,6,35,35,0.5111111111111111,0.08333333333333333,0.8537549407114624,45
10,lsqr,0.5,6,36,36,0.5,0.65625,0.43595041322314054,44
10,lsqr,0.5,6,37,37,0.5111111111111111,0.0,0.598814229249012,45
10,lsqr,0.5,6,38,38,0.6,0.5263157894736842,0.5948616600790514,45
10,lsqr,0.5,6,39,39,0.4318181818181818,0.5283018867924528,0.505175983436853,44
10,lsqr,0.5,6,40,40,0.5111111111111111,0.45,0.5376984126984127,45
10,lsqr,0.5,6,41,41,0.7333333333333333,0.6666666666666666,0.8075396825396826,45
10,lsqr,0.5,6,42,42,0.9111111111111111,0.9130434782608695,0.9802371541501976,45
10,lsqr,0.5,6,43,43,0.8,0.7567567567567568,0.9031620553359684,45
10,lsqr,0.5,6,44,44,0.6896551724137931,0.64,0.8,29
10,lsqr,0.5,6,45,45,0.5555555555555556,0.23076923076923078,0.8102766798418973,45
10,lsqr,0.5,6,46,46,0.5555555555555556,0.23076923076923078,0.723320158102767,45
10,lsqr,0.5,6,47,47,0.5333333333333333,0.5882352941176471,0.5932539682539683,45
10,lsqr,0.5,6,48,48,0.8235294117647058,0.8235294117647058,0.9142857142857143,17
10,lsqr,0.5,6,49,49,0.8888888888888888,0.8936170212765957,0.958498023715415,45
10,lsqr,0.5,6,50,50,0.5111111111111111,0.0,0.6482213438735178,45
10,lsqr,0.5,6,51,51,0.5333333333333333,0.0,0.6031746031746033,45
10,lsqr,0.5,6,52,52,0.7804878048780488,0.7096774193548387,0.8133971291866029,41
10,lsqr,0.5,6,53,53,0.5813953488372093,0.55,0.5670995670995672,43
10,lsqr,0.5,6,54,54,0.5128205128205128,0.6274509803921569,0.842391304347826,39
10,lsqr,0.5,6,55,55,0.7333333333333333,0.625,0.9071146245059288,45
10,lsqr,0.5,6,56,56,0.8409090909090909,0.8571428571428571,0.9152892561983472,44
10,lsqr,0.5,6,57,57,0.5333333333333333,0.6181818181818182,0.6924603174603176,45
10,lsqr,0.5,6,58,58,0.6,0.625,0.6408730158730159,45
10,lsqr,0.5,6,59,59,0.5333333333333333,0.08695652173913043,0.45039682539682535,45
10,lsqr,0.5,6,60,60,0.7727272727272727,0.782608695652174,0.8884297520661157,44
10,lsqr,0.5,6,61,61,0.6976744186046512,0.6976744186046512,0.8311688311688311,43
10,lsqr,0.5,6,62,62,0.9333333333333333,0.9302325581395349,0.9861660079051384,45
10,lsqr,0.5,6,63,63,0.5581395348837209,0.24,0.5865800865800865,43
10,lsqr,0.5,6,64,64,0.6888888888888889,0.7307692307692307,0.8221343873517787,45
10,lsqr,0.5,6,65,65,0.6444444444444445,0.68,0.7757936507936508,45
10,lsqr,0.5,6,66,66,0.4666666666666667,0.5,0.5039525691699605,45
10,lsqr,0.5,6,67,67,0.5111111111111111,0.15384615384615385,0.6442687747035573,45
10,lsqr,0.5,6,68,68,0.5111111111111111,0.08333333333333333,0.7015810276679841,45
10,lsqr,0.5,6,69,69,0.6444444444444445,0.5294117647058824,0.6924603174603174,45
10,lsqr,0.5,6,70,70,0.7333333333333333,0.6842105263157895,0.8399209486166008,45
10,lsqr,0.5,6,71,71,0.6,0.35714285714285715,0.9308300395256917,45
10,lsqr,0.5,6,72,72,0.9555555555555556,0.9565217391304348,0.9901185770750989,45
10,lsqr,0.5,6,73,73,0.6888888888888889,0.6111111111111112,0.7766798418972332,45
10,lsqr,0.5,6,74,74,0.5333333333333333,0.5116279069767442,0.5575396825396826,45
10,lsqr,0.5,6,75,75,0.8536585365853658,0.8235294117647058,0.9285714285714286,41
10,lsqr,0.5,6,76,76,0.6444444444444445,0.5789473684210527,0.6462450592885376,45
10,lsqr,0.5,6,77,77,0.5777777777777777,0.5957446808510638,0.5813492063492063,45
10,lsqr,0.5,6,78,78,0.4666666666666667,0.6129032258064516,0.5533596837944663,45
10,lsqr,0.5,6,79,79,0.675,0.5517241379310345,0.74,40
10,lsqr,0.5,6,80,80,0.5111111111111111,0.0,0.5948616600790514,45
10,lsqr,0.5,6,81,81,0.4888888888888889,0.0,0.8339920948616601,45
10,lsqr,0.5,6,82,82,0.5111111111111111,0.6666666666666666,0.733201581027668,45
10,lsqr,0.5,6,83,83,0.5526315789473685,0.19047619047619047,0.8753462603878116,38
10,lsqr,0.5,6,84,84,0.6818181818181818,0.6666666666666666,0.7722567287784678,44
10,lsqr,0.5,6,85,85,0.5454545454545454,0.6774193548387096,0.9523809523809523,44
10,lsqr,0.5,6,86,86,0.75,0.7027027027027027,0.9047619047619048,44
10,lsqr,0.5,6,87,87,0.5555555555555556,0.696969696969697,0.5691699604743082,45
10,lsqr,0.5,6,88,88,0.509090909090909,0.12903225806451613,0.6005291005291006,55
10,lsqr,0.5,6,89,89,0.6888888888888889,0.5333333333333333,0.7559523809523809,45
10,lsqr,0.5,6,90,90,0.5555555555555556,0.5,0.5434782608695652,45
10,lsqr,0.5,6,91,91,0.5,0.6666666666666666,0.7913223140495869,44
10,lsqr,0.5,6,92,92,0.5892857142857143,0.41025641025641024,0.6717948717948717,56
10,lsqr,0.5,6,93,93,0.8222222222222222,0.8,0.9268774703557312,45
10,lsqr,0.5,6,94,94,0.9772727272727273,0.9787234042553191,0.9979296066252588,44
10,lsqr,0.5,6,95,95,0.35714285714285715,0.5263157894736842,0.546875,28
