trial_number,n_estimators,criterion,max_depth,min_samples_split,min_samples_leaf,max_features,class_weight,csp_components,fold,subject,accuracy,f1_score,roc_auc,support
1,500,log_loss,6,25,12,sqrt,balanced_subsample,6,22,22,0.5555555555555556,0.696969696969697,0.6956521739130435,45
1,500,log_loss,6,25,12,sqrt,balanced_subsample,6,23,23,0.6136363636363636,0.711864406779661,0.8243801652892562,44
1,500,log_loss,6,25,12,sqrt,balanced_subsample,6,24,24,0.5,0.3076923076923077,0.35064935064935066,18
1,500,log_loss,6,25,12,sqrt,balanced_subsample,6,25,25,0.6,0.5909090909090909,0.6620553359683795,45
1,500,log_loss,6,25,12,sqrt,balanced_subsample,6,26,26,0.7111111111111111,0.7111111111111111,0.7341269841269842,45
1,500,log_loss,6,25,12,sqrt,balanced_subsample,6,27,27,0.5111111111111111,0.65625,0.5513833992094862,45
1,500,log_loss,6,25,12,sqrt,balanced_subsample,6,28,28,0.5111111111111111,0.42105263157894735,0.4980237154150198,45
1,500,log_loss,6,25,12,sqrt,balanced_subsample,6,29,29,0.8,0.8301886792452831,0.9328063241106719,45
1,500,log_loss,6,25,12,sqrt,balanced_subsample,6,30,30,0.4888888888888889,0.08,0.5238095238095238,45
1,500,log_loss,6,25,12,sqrt,balanced_subsample,6,31,31,0.8888888888888888,0.9019607843137255,0.9723320158102766,45
1,500,log_loss,6,25,12,sqrt,balanced_subsample,6,32,32,0.8181818181818182,0.8461538461538461,0.8964803312629399,44
1,500,log_loss,6,25,12,sqrt,balanced_subsample,6,33,33,0.7333333333333333,0.6666666666666666,0.8735177865612649,45
1,500,log_loss,6,25,12,sqrt,balanced_subsample,6,34,34,0.8666666666666667,0.875,0.9563492063492064,45
1,500,log_loss,6,25,12,sqrt,balanced_subsample,6,35,35,0.5111111111111111,0.08333333333333333,0.774703557312253,45
1,500,log_loss,6,25,12,sqrt,balanced_subsample,6,36,36,0.4318181818181818,0.5283018867924528,0.4710743801652892,44
1,500,log_loss,6,25,12,sqrt,balanced_subsample,6,37,37,0.5111111111111111,0.0,0.5276679841897233,45
1,500,log_loss,6,25,12,sqrt,balanced_subsample,6,38,38,0.5111111111111111,0.45,0.541501976284585,45
1,500,log_loss,6,25,12,sqrt,balanced_subsample,6,39,39,0.4772727272727273,0.5490196078431373,0.4244306418219461,44
1,500,log_loss,6,25,12,sqrt,balanced_subsample,6,40,40,0.4666666666666667,0.4,0.48809523809523814,45
1,500,log_loss,6,25,12,sqrt,balanced_subsample,6,41,41,0.6222222222222222,0.5641025641025641,0.6984126984126985,45
1,500,log_loss,6,25,12,sqrt,balanced_subsample,6,42,42,0.8666666666666667,0.85,0.9664031620553359,45
1,500,log_loss,6,25,12,sqrt,balanced_subsample,6,43,43,0.7333333333333333,0.625,0.8438735177865613,45
1,500,log_loss,6,25,12,sqrt,balanced_subsample,6,44,44,0.7586206896551724,0.7407407407407407,0.7428571428571428,29
1,500,log_loss,6,25,12,sqrt,balanced_subsample,6,45,45,0.6222222222222222,0.37037037037037035,0.7450592885375494,45
1,500,log_loss,6,25,12,sqrt,balanced_subsample,6,46,46,0.5555555555555556,0.5454545454545454,0.5909090909090909,45
1,500,log_loss,6,25,12,sqrt,balanced_subsample,6,47,47,0.6,0.5909090909090909,0.5714285714285714,45
1,500,log_loss,6,25,12,sqrt,balanced_subsample,6,48,48,0.7647058823529411,0.7777777777777778,0.8142857142857144,17
1,500,log_loss,6,25,12,sqrt,balanced_subsample,6,49,49,0.8,0.7804878048780488,0.9110671936758894,45
1,500,log_loss,6,25,12,sqrt,balanced_subsample,6,50,50,0.5111111111111111,0.0,0.6126482213438735,45
1,500,log_loss,6,25,12,sqrt,balanced_subsample,6,51,51,0.5333333333333333,0.0,0.5069444444444444,45
1,500,log_loss,6,25,12,sqrt,balanced_subsample,6,52,52,0.7804878048780488,0.7096774193548387,0.84688995215311,41
1,500,log_loss,6,25,12,sqrt,balanced_subsample,6,53,53,0.5813953488372093,0.4375,0.6082251082251082,43
1,500,log_loss,6,25,12,sqrt,balanced_subsample,6,54,54,0.6410256410256411,0.6956521739130435,0.8233695652173914,39
1,500,log_loss,6,25,12,sqrt,balanced_subsample,6,55,55,0.5555555555555556,0.16666666666666666,0.857707509881423,45
1,500,log_loss,6,25,12,sqrt,balanced_subsample,6,56,56,0.9090909090909091,0.9130434782608695,0.9483471074380165,44
1,500,log_loss,6,25,12,sqrt,balanced_subsample,6,57,57,0.6222222222222222,0.6382978723404256,0.6706349206349206,45
1,500,log_loss,6,25,12,sqrt,balanced_subsample,6,58,58,0.5333333333333333,0.631578947368421,0.5912698412698413,45
1,500,log_loss,6,25,12,sqrt,balanced_subsample,6,59,59,0.4444444444444444,0.1935483870967742,0.46031746031746035,45
1,500,log_loss,6,25,12,sqrt,balanced_subsample,6,60,60,0.8181818181818182,0.8181818181818182,0.9256198347107438,44
1,500,log_loss,6,25,12,sqrt,balanced_subsample,6,61,61,0.7906976744186046,0.7692307692307693,0.8744588744588744,43
1,500,log_loss,6,25,12,sqrt,balanced_subsample,6,62,62,0.7777777777777778,0.782608695652174,0.9150197628458498,45
1,500,log_loss,6,25,12,sqrt,balanced_subsample,6,63,63,0.6046511627906976,0.41379310344827586,0.5887445887445888,43
1,500,log_loss,6,25,12,sqrt,balanced_subsample,6,64,64,0.6,0.47058823529411764,0.7450592885375494,45
1,500,log_loss,6,25,12,sqrt,balanced_subsample,6,65,65,0.6888888888888889,0.6818181818181818,0.7619047619047619,45
1,500,log_loss,6,25,12,sqrt,balanced_subsample,6,66,66,0.4666666666666667,0.4782608695652174,0.4861660079051383,45
1,500,log_loss,6,25,12,sqrt,balanced_subsample,6,67,67,0.5555555555555556,0.2857142857142857,0.6225296442687747,45
1,500,log_loss,6,25,12,sqrt,balanced_subsample,6,68,68,0.5111111111111111,0.08333333333333333,0.6521739130434783,45
1,500,log_loss,6,25,12,sqrt,balanced_subsample,6,69,69,0.5555555555555556,0.6,0.5992063492063492,45
1,500,log_loss,6,25,12,sqrt,balanced_subsample,6,70,70,0.7555555555555555,0.7441860465116279,0.7608695652173912,45
1,500,log_loss,6,25,12,sqrt,balanced_subsample,6,71,71,0.6444444444444445,0.4666666666666667,0.9347826086956521,45
1,500,log_loss,6,25,12,sqrt,balanced_subsample,6,72,72,0.7333333333333333,0.6842105263157895,0.8873517786561265,45
1,500,log_loss,6,25,12,sqrt,balanced_subsample,6,73,73,0.5777777777777777,0.2962962962962963,0.6976284584980237,45
1,500,log_loss,6,25,12,sqrt,balanced_subsample,6,74,74,0.5333333333333333,0.27586206896551724,0.4880952380952381,45
1,500,log_loss,6,25,12,sqrt,balanced_subsample,6,75,75,0.7073170731707317,0.7142857142857143,0.8166666666666667,41
1,500,log_loss,6,25,12,sqrt,balanced_subsample,6,76,76,0.5777777777777777,0.6666666666666666,0.6442687747035574,45
1,500,log_loss,6,25,12,sqrt,balanced_subsample,6,77,77,0.5333333333333333,0.5882352941176471,0.5357142857142857,45
1,500,log_loss,6,25,12,sqrt,balanced_subsample,6,78,78,0.5555555555555556,0.6428571428571429,0.6363636363636364,45
1,500,log_loss,6,25,12,sqrt,balanced_subsample,6,79,79,0.65,0.5333333333333333,0.645,40
1,500,log_loss,6,25,12,sqrt,balanced_subsample,6,80,80,0.4888888888888889,0.0,0.6620553359683795,45
1,500,log_loss,6,25,12,sqrt,balanced_subsample,6,81,81,0.5555555555555556,0.23076923076923078,0.8023715415019763,45
1,500,log_loss,6,25,12,sqrt,balanced_subsample,6,82,82,0.5555555555555556,0.6774193548387096,0.6877470355731226,45
1,500,log_loss,6,25,12,sqrt,balanced_subsample,6,83,83,0.5526315789473685,0.19047619047619047,0.7645429362880886,38
1,500,log_loss,6,25,12,sqrt,balanced_subsample,6,84,84,0.6590909090909091,0.6341463414634146,0.7412008281573499,44
1,500,log_loss,6,25,12,sqrt,balanced_subsample,6,85,85,0.5681818181818182,0.6885245901639344,0.888198757763975,44
1,500,log_loss,6,25,12,sqrt,balanced_subsample,6,86,86,0.6818181818181818,0.65,0.7929606625258799,44
1,500,log_loss,6,25,12,sqrt,balanced_subsample,6,87,87,0.4888888888888889,0.6229508196721312,0.525691699604743,45
1,500,log_loss,6,25,12,sqrt,balanced_subsample,6,88,88,0.4727272727272727,0.12121212121212122,0.5277777777777778,55
1,500,log_loss,6,25,12,sqrt,balanced_subsample,6,89,89,0.7555555555555555,0.7755102040816326,0.7956349206349207,45
1,500,log_loss,6,25,12,sqrt,balanced_subsample,6,90,90,0.5111111111111111,0.5416666666666666,0.5059288537549407,45
1,500,log_loss,6,25,12,sqrt,balanced_subsample,6,91,91,0.5227272727272727,0.676923076923077,0.7458677685950412,44
1,500,log_loss,6,25,12,sqrt,balanced_subsample,6,92,92,0.5892857142857143,0.43902439024390244,0.7435897435897436,56
1,500,log_loss,6,25,12,sqrt,balanced_subsample,6,93,93,0.7333333333333333,0.7,0.8221343873517787,45
1,500,log_loss,6,25,12,sqrt,balanced_subsample,6,94,94,0.8181818181818182,0.8518518518518519,0.9937888198757765,44
1,500,log_loss,6,25,12,sqrt,balanced_subsample,6,95,95,0.32142857142857145,0.4864864864864865,0.5520833333333333,28
1,500,log_loss,6,25,12,sqrt,balanced_subsample,6,96,96,0.5238095238095238,0.6774193548387096,0.5079365079365079,42
1,500,log_loss,6,25,12,sqrt,balanced_subsample,6,97,97,0.5,0.0,0.5764462809917356,44
1,500,log_loss,6,25,12,sqrt,balanced_subsample,6,98,98,0.5111111111111111,0.6451612903225806,0.5711462450592886,45
1,500,log_loss,6,25,12,sqrt,balanced_subsample,6,99,99,0.5116279069767442,0.46153846153846156,0.5151515151515151,43
1,500,log_loss,6,25,12,sqrt,balanced_subsample,6,100,100,0.5555555555555556,0.6363636363636364,0.5987654320987654,36
1,500,log_loss,6,25,12,sqrt,balanced_subsample,6,101,101,0.4888888888888889,0.0,0.650197628458498,45
1,500,log_loss,6,25,12,sqrt,balanced_subsample,6,102,102,0.5333333333333333,0.16,0.7569169960474309,45
1,500,log_loss,6,25,12,sqrt,balanced_subsample,6,103,103,0.627906976744186,0.5555555555555556,0.7099567099567099,43
1,500,log_loss,6,25,12,sqrt,balanced_subsample,6,104,104,0.5116279069767442,0.5333333333333333,0.512987012987013,43
1,500,log_loss,6,25,12,sqrt,balanced_subsample,6,105,105,0.5333333333333333,0.3225806451612903,0.5158102766798419,45
1,500,log_loss,6,25,12,sqrt,balanced_subsample,6,106,106,0.6444444444444445,0.6190476190476191,0.7242063492063492,45
1,500,log_loss,6,25,12,sqrt,balanced_subsample,6,107,107,0.5555555555555556,0.5454545454545454,0.5535714285714286,45
1,500,log_loss,6,25,12,sqrt,balanced_subsample,6,108,108,0.8,0.7692307692307693,0.8794466403162056,45
2,450,entropy,4,15,2,sqrt,balanced,6,1,1,0.6222222222222222,0.711864406779661,0.775691699604743,45
2,450,entropy,4,15,2,sqrt,balanced,6,2,2,0.8444444444444444,0.8205128205128205,0.8735177865612649,45
2,450,entropy,4,15,2,sqrt,balanced,6,3,3,0.4444444444444444,0.6031746031746031,0.5296442687747036,45
2,450,entropy,4,15,2,sqrt,balanced,6,4,4,0.6,0.4,0.7302371541501976,45
2,450,entropy,4,15,2,sqrt,balanced,6,5,5,0.4222222222222222,0.2777777777777778,0.37103174603174605,45
2,450,entropy,4,15,2,sqrt,balanced,6,6,6,0.5555555555555556,0.3333333333333333,0.5773809523809524,45
2,450,entropy,4,15,2,sqrt,balanced,6,7,7,0.7333333333333333,0.7857142857142857,0.9209486166007905,45
2,450,entropy,4,15,2,sqrt,balanced,6,8,8,0.6,0.4,0.7173913043478262,45
2,450,entropy,4,15,2,sqrt,balanced,6,9,9,0.5333333333333333,0.5882352941176471,0.5793650793650794,45
2,450,entropy,4,15,2,sqrt,balanced,6,10,10,0.6222222222222222,0.6222222222222222,0.7341269841269841,45
2,450,entropy,4,15,2,sqrt,balanced,6,11,11,0.4666666666666667,0.6129032258064516,0.4901185770750988,45
2,450,entropy,4,15,2,sqrt,balanced,6,12,12,0.5333333333333333,0.3225806451612903,0.6001984126984128,45
2,450,entropy,4,15,2,sqrt,balanced,6,13,13,0.7428571428571429,0.7567567567567568,0.7777777777777778,35
