parameter_name,parameter_value,fold,subject,epoch,train_loss,val_loss,learning_rate,f1,depth_multiplier,f2,kernel_length,dropout_rate,batch_size,epochs,weight_decay,validation_fraction,early_stopping_patience,lr_scheduler_patience,lr_scheduler_factor,use_class_weight,seed
epochs,50,4,4,31,0.573417723856189,0.5736594200134277,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,4,4,32,0.5700002335237734,0.5720893979072571,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,4,4,33,0.5802785316199968,0.5771368583043416,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,4,4,34,0.5710860465963682,0.5743937154610952,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,4,4,35,0.5696346753022887,0.5722294370333354,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,4,4,36,0.5613681416619908,0.5740315357844035,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,4,4,37,0.5649892920345971,0.5729766706625621,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,4,4,38,0.5657118576945681,0.5724375744660696,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,4,4,39,0.561262023268324,0.5699152608712514,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,5,5,1,0.7059014186714635,0.6938853661219279,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,5,5,2,0.674803792978778,0.6641358256340026,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,5,5,3,0.6490450009252086,0.6530702551205952,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,5,5,4,0.6361883102041302,0.6468342900276184,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,5,5,5,0.619402779322682,0.6064312815666199,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,5,5,6,0.6158349735267235,0.599943733215332,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,5,5,7,0.6139897279667131,0.5952559570471446,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,5,5,8,0.6074638637629423,0.6059154947598775,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,5,5,9,0.6118946854363788,0.5902482330799103,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,5,5,10,0.6062055390441057,0.5957076629002889,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,5,5,11,0.5947752208872275,0.6343730906645457,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,5,5,12,0.6042928463130286,0.5965987980365753,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,5,5,13,0.5918861239245443,0.6048256119092306,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,5,5,14,0.5931722566936956,0.6112008929252625,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,5,5,15,0.5895740550124284,0.5900543133417765,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,5,5,16,0.5884006763949539,0.5867672602335612,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,5,5,17,0.5846105561111913,0.5947931130727132,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,5,5,18,0.5848739616798632,0.6116521040598552,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,5,5,19,0.5877127037806944,0.6165676534175872,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,5,5,20,0.5720234005288645,0.5905681371688842,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,5,5,21,0.5779956504702568,0.5922593375047048,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,5,5,22,0.5825869883551742,0.6014412760734558,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,5,5,23,0.5747290140751636,0.5882142027219136,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,5,5,24,0.5732052723566691,0.5863564550876618,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,5,5,25,0.5642291695782633,0.5893461843331654,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,5,5,26,0.5672917458595652,0.5971776028474172,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,5,5,27,0.5650332073370615,0.5956339736779531,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.5,True,42
epochs,50,5,5,28,0.5667196261611852,0.5863680422306061,0.001,8,2,16,64,0.25,32,50,0.0,0.1,10,5,0.5,True,42
