parameter_name,parameter_value,temporal_filters,depth_multiplier,kernel_length,dropout_rate,learning_rate,batch_size,epochs,weight_decay,fold,subject,accuracy,f1_score,roc_auc,train_time_sec,inference_time_sec,inference_ms_per_sample,model_size_mb,num_parameters,train_memory_delta_mb,peak_gpu_memory_mb
batch_size,16,8,2,64,0.5,0.001,16,20,0.0,60,60,0.8181818181818182,0.84,0.896694214876033,17.33701945300004,0.003700790000038978,0.0841088636372495,0.014316558837890625,1858,0.00390625,30.56884765625
batch_size,16,8,2,64,0.5,0.001,16,20,0.0,61,61,0.6976744186046512,0.6285714285714286,0.8398268398268398,18.998764279999932,0.0036158079999495385,0.08408855813836136,0.014316558837890625,1858,0.0078125,30.56884765625
batch_size,16,8,2,64,0.5,0.001,16,20,0.0,62,62,0.8666666666666667,0.88,0.9881422924901186,13.092727043999957,0.0025433089999751246,0.05651797777722499,0.014316558837890625,1858,0.0,30.56884765625
batch_size,16,8,2,64,0.5,0.001,16,20,0.0,63,63,0.5813953488372093,0.47058823529411764,0.5930735930735932,17.425058705999845,0.0036645570000928274,0.08522225581611226,0.014316558837890625,1858,0.00390625,30.56884765625
batch_size,16,8,2,64,0.5,0.001,16,20,0.0,64,64,0.4888888888888889,0.6567164179104478,0.7154150197628459,16.151459351999847,0.002545963000102347,0.05657695555782993,0.014316558837890625,1858,0.0078125,30.56884765625
batch_size,16,8,2,64,0.5,0.001,16,20,0.0,65,65,0.6222222222222222,0.711864406779661,0.9226190476190476,17.30720290299996,0.00384628799974962,0.08547306666110267,0.014316558837890625,1858,0.00390625,30.56884765625
batch_size,16,8,2,64,0.5,0.001,16,20,0.0,66,66,0.5333333333333333,0.36363636363636365,0.6067193675889329,19.933436938999876,0.004168169999957172,0.09262599999904826,0.014316558837890625,1858,0.0,30.56884765625
batch_size,16,8,2,64,0.5,0.001,16,20,0.0,67,67,0.4888888888888889,0.0,0.5553359683794467,15.035008242999993,0.002512636000119528,0.05583635555821174,0.014316558837890625,1858,0.00390625,30.56884765625
batch_size,16,8,2,64,0.5,0.001,16,20,0.0,68,68,0.5333333333333333,0.5714285714285714,0.6047430830039526,14.837974822000433,0.002488680000169552,0.055304000003767825,0.014316558837890625,1858,0.0,30.56884765625
batch_size,16,8,2,64,0.5,0.001,16,20,0.0,69,69,0.4888888888888889,0.6101694915254238,0.5138888888888888,12.976947803000257,0.002566763000231731,0.05703917778292736,0.014316558837890625,1858,0.0,30.56884765625
batch_size,16,8,2,64,0.5,0.001,16,20,0.0,70,70,0.6,0.35714285714285715,0.8379446640316205,19.15352861500014,0.004142677999880107,0.09205951110844682,0.014316558837890625,1858,0.00390625,30.56884765625
batch_size,16,8,2,64,0.5,0.001,16,20,0.0,71,71,0.8444444444444444,0.8205128205128205,0.9822134387351779,16.59607303699977,0.004230748999816569,0.09401664444036821,0.014316558837890625,1858,0.0,30.56884765625
batch_size,16,8,2,64,0.5,0.001,16,20,0.0,72,72,0.6888888888888889,0.5625,0.9604743083003953,15.122344612000234,0.003794864999690617,0.08433033332645815,0.014316558837890625,1858,0.0078125,30.56884765625
batch_size,16,8,2,64,0.5,0.001,16,20,0.0,73,73,0.5111111111111111,0.0,0.5849802371541502,18.350824073999775,0.003756451000299421,0.08347668889554269,0.014316558837890625,1858,0.00390625,30.56884765625
batch_size,16,8,2,64,0.5,0.001,16,20,0.0,74,74,0.5555555555555556,0.09090909090909091,0.5297619047619048,19.7440922830001,0.0037721660000897828,0.08382591111310629,0.014316558837890625,1858,0.0,30.56884765625
batch_size,16,8,2,64,0.5,0.001,16,20,0.0,75,75,0.8048780487804879,0.7894736842105263,0.9452380952380953,20.751790557000277,0.0038520660000358475,0.09395282926916702,0.014316558837890625,1858,0.0078125,30.56884765625
batch_size,16,8,2,64,0.5,0.001,16,20,0.0,76,76,0.4888888888888889,0.6567164179104478,0.5335968379446641,15.82823471499978,0.002569633999883081,0.05710297777517957,0.014316558837890625,1858,0.0078125,30.56884765625
batch_size,16,8,2,64,0.5,0.001,16,20,0.0,77,77,0.5333333333333333,0.6037735849056604,0.6170634920634921,16.856859627000176,0.003761560999919311,0.08359024444265135,0.014316558837890625,1858,0.00390625,30.56884765625
batch_size,16,8,2,64,0.5,0.001,16,20,0.0,78,78,0.5111111111111111,0.0,0.650197628458498,19.908326791000036,0.0038695359999110224,0.08598968888691161,0.014316558837890625,1858,0.0078125,30.56884765625
batch_size,16,8,2,64,0.5,0.001,16,20,0.0,79,79,0.575,0.2608695652173913,0.5625,17.58496973299998,0.004468433000056393,0.11171082500140983,0.014316558837890625,1858,0.0625,30.56884765625
batch_size,16,8,2,64,0.5,0.001,16,20,0.0,80,80,0.5111111111111111,0.0,0.7075098814229249,15.353001037000013,0.0033025580000867194,0.07339017777970487,0.014316558837890625,1858,0.00390625,30.56884765625
