parameter_name,parameter_value,criterion,max_depth,min_samples_split,min_samples_leaf,class_weight,csp_components,fold,subject,accuracy,f1_score,roc_auc
criterion,entropy,entropy,5,10,5,balanced,6,45,45,0.5777777777777777,0.5365853658536586,0.5968379446640317
criterion,entropy,entropy,5,10,5,balanced,6,46,46,0.4666666666666667,0.625,0.4762845849802371
criterion,entropy,entropy,5,10,5,balanced,6,47,47,0.5333333333333333,0.0,0.5
criterion,entropy,entropy,5,10,5,balanced,6,48,48,0.7058823529411765,0.7058823529411765,0.7285714285714286
criterion,entropy,entropy,5,10,5,balanced,6,49,49,0.8444444444444444,0.8292682926829268,0.8359683794466403
criterion,entropy,entropy,5,10,5,balanced,6,50,50,0.5111111111111111,0.0,0.5
criterion,entropy,entropy,5,10,5,balanced,6,51,51,0.5333333333333333,0.0,0.5
criterion,entropy,entropy,5,10,5,balanced,6,52,52,0.6341463414634146,0.34782608695652173,0.69377990430622
criterion,entropy,entropy,5,10,5,balanced,6,53,53,0.5813953488372093,0.6086956521739131,0.5551948051948052
criterion,entropy,entropy,5,10,5,balanced,6,54,54,0.7435897435897436,0.7058823529411765,0.7703804347826088
criterion,entropy,entropy,5,10,5,balanced,6,55,55,0.5111111111111111,0.0,0.5
criterion,entropy,entropy,5,10,5,balanced,6,56,56,0.6590909090909091,0.7272727272727273,0.7551652892561983
criterion,entropy,entropy,5,10,5,balanced,6,57,57,0.5333333333333333,0.6037735849056604,0.6081349206349206
criterion,entropy,entropy,5,10,5,balanced,6,58,58,0.5555555555555556,0.6296296296296297,0.5714285714285714
criterion,entropy,entropy,5,10,5,balanced,6,59,59,0.4666666666666667,0.4,0.48710317460317465
criterion,entropy,entropy,5,10,5,balanced,6,60,60,0.75,0.7843137254901961,0.8140495867768596
criterion,entropy,entropy,5,10,5,balanced,6,61,61,0.7209302325581395,0.7142857142857143,0.7932900432900434
criterion,entropy,entropy,5,10,5,balanced,6,62,62,0.7333333333333333,0.6666666666666666,0.7292490118577075
criterion,entropy,entropy,5,10,5,balanced,6,63,63,0.4883720930232558,0.0,0.5
criterion,entropy,entropy,5,10,5,balanced,6,64,64,0.5111111111111111,0.0,0.5
criterion,entropy,entropy,5,10,5,balanced,6,65,65,0.5333333333333333,0.6666666666666666,0.5625
