parameter_name,parameter_value,temporal_filters,depth_multiplier,kernel_length,dropout_rate,learning_rate,batch_size,epochs,weight_decay,fold,subject,accuracy,f1_score,roc_auc,train_time_sec,inference_time_sec,inference_ms_per_sample,model_size_mb,num_parameters,train_memory_delta_mb,peak_gpu_memory_mb
dropout_rate,0.25,8,2,64,0.25,0.001,32,20,0.0,82,82,0.4888888888888889,0.6567164179104478,0.8241106719367589,10.012688302999777,0.002130191999640374,0.04733759999200831,0.014316558837890625,1858,0.0,41.77880859375
dropout_rate,0.25,8,2,64,0.25,0.001,32,20,0.0,83,83,0.5526315789473685,0.19047619047619047,0.8448753462603877,10.017122709999967,0.0020514119996732916,0.05398452630719188,0.014316558837890625,1858,0.00390625,41.77880859375
dropout_rate,0.25,8,2,64,0.25,0.001,32,20,0.0,84,84,0.6818181818181818,0.5,0.7991718426501035,10.001309864000177,0.0021524039993892075,0.048918272713391074,0.014316558837890625,1858,0.00390625,41.77880859375
dropout_rate,0.25,8,2,64,0.25,0.001,32,20,0.0,85,85,0.7954545454545454,0.7272727272727273,0.9875776397515528,10.003259305000029,0.002236004999758734,0.050818295449062134,0.014316558837890625,1858,0.0,41.77880859375
dropout_rate,0.25,8,2,64,0.25,0.001,32,20,0.0,86,86,0.5681818181818182,0.6984126984126984,0.8240165631469979,10.020379149999826,0.00206140000045707,0.04685000001038795,0.014316558837890625,1858,0.01171875,41.77880859375
dropout_rate,0.25,8,2,64,0.25,0.001,32,20,0.0,87,87,0.5333333333333333,0.27586206896551724,0.5454545454545454,10.0185528410002,0.0020986949994039605,0.046637666653421346,0.014316558837890625,1858,0.0,41.77880859375
dropout_rate,0.25,8,2,64,0.25,0.001,32,20,0.0,88,88,0.4909090909090909,0.0,0.6481481481481481,9.956664839999576,0.002480244000253151,0.0450953454591482,0.014316558837890625,1858,0.0,41.77880859375
dropout_rate,0.25,8,2,64,0.25,0.001,32,20,0.0,89,89,0.5555555555555556,0.2857142857142857,0.5595238095238095,10.015474593999897,0.0022514310003316496,0.05003180000736999,0.014316558837890625,1858,0.0,41.77880859375
dropout_rate,0.25,8,2,64,0.25,0.001,32,20,0.0,90,90,0.6444444444444445,0.7419354838709677,0.8181818181818181,9.994008826999561,0.0022498939997603884,0.04999764443911974,0.014316558837890625,1858,0.00390625,41.77880859375
dropout_rate,0.25,8,2,64,0.25,0.001,32,20,0.0,91,91,0.7045454545454546,0.7111111111111111,0.7913223140495868,10.026898387999609,0.002301157999681891,0.05229904544731571,0.014316558837890625,1858,0.0,41.77880859375
dropout_rate,0.25,8,2,64,0.25,0.001,32,20,0.0,92,92,0.6607142857142857,0.6122448979591837,0.7564102564102564,9.940841584999362,0.002486518999830878,0.044402124996979965,0.014316558837890625,1858,0.0,41.77880859375
dropout_rate,0.25,8,2,64,0.25,0.001,32,20,0.0,93,93,0.7111111111111111,0.6976744186046512,0.8043478260869565,10.020390011000018,0.0023265099998752703,0.051700222219450455,0.014316558837890625,1858,0.00390625,41.77880859375
dropout_rate,0.25,8,2,64,0.25,0.001,32,20,0.0,94,94,0.8636363636363636,0.8846153846153846,0.979296066252588,10.01522085600027,0.002315824999641336,0.05263238635548491,0.014316558837890625,1858,0.0,41.77880859375
dropout_rate,0.25,8,2,64,0.25,0.001,32,20,0.0,95,95,0.7142857142857143,0.6363636363636364,0.7135416666666666,9.997918729000048,0.0013635269997394062,0.04869739284783593,0.014316558837890625,1858,0.00390625,41.77880859375
dropout_rate,0.25,8,2,64,0.25,0.001,32,20,0.0,96,96,0.47619047619047616,0.6451612903225806,0.7210884353741496,9.99288904200057,0.002225283999905514,0.052982952378702715,0.014316558837890625,1858,0.00390625,41.77880859375
dropout_rate,0.25,8,2,64,0.25,0.001,32,20,0.0,97,97,0.5227272727272727,0.676923076923077,0.5743801652892562,10.006594651000341,0.0020976850000806735,0.04767465909274258,0.014316558837890625,1858,0.0,41.77880859375
dropout_rate,0.25,8,2,64,0.25,0.001,32,20,0.0,98,98,0.4888888888888889,0.6567164179104478,0.5770750988142292,10.015359877000265,0.0023398240000460646,0.05199608888991255,0.014316558837890625,1858,0.0078125,41.77880859375
