parameter_name,parameter_value,solver,shrinkage,csp_components,fold,subject,accuracy,f1_score,roc_auc
csp_components,6,lsqr,auto,6,66,66,0.4888888888888889,0.5964912280701754,0.5
csp_components,6,lsqr,auto,6,67,67,0.4888888888888889,0.08,0.6086956521739131
csp_components,6,lsqr,auto,6,68,68,0.5555555555555556,0.23076923076923078,0.7312252964426877
csp_components,6,lsqr,auto,6,69,69,0.6222222222222222,0.48484848484848486,0.6547619047619048
csp_components,6,lsqr,auto,6,70,70,0.7111111111111111,0.6666666666666666,0.8577075098814229
csp_components,6,lsqr,auto,6,71,71,0.7555555555555555,0.6857142857142857,0.9407114624505929
csp_components,6,lsqr,auto,6,72,72,0.9333333333333333,0.9361702127659575,0.9782608695652174
csp_components,6,lsqr,auto,6,73,73,0.4888888888888889,0.6229508196721312,0.7154150197628458
csp_components,6,lsqr,auto,6,74,74,0.4888888888888889,0.5818181818181818,0.5575396825396826
csp_components,6,lsqr,auto,6,75,75,0.8292682926829268,0.8108108108108109,0.9476190476190476
csp_components,6,lsqr,auto,6,76,76,0.5777777777777777,0.24,0.6699604743083004
csp_components,6,lsqr,auto,6,77,77,0.4444444444444444,0.5454545454545454,0.5873015873015873
csp_components,6,lsqr,auto,6,78,78,0.4444444444444444,0.5901639344262295,0.5454545454545454
csp_components,6,lsqr,auto,6,79,79,0.65,0.5,0.725
csp_components,6,lsqr,auto,6,80,80,0.5111111111111111,0.0,0.6185770750988142
csp_components,6,lsqr,auto,6,81,81,0.4888888888888889,0.0,0.841897233201581
csp_components,6,lsqr,auto,6,82,82,0.5555555555555556,0.6875,0.7470355731225297
csp_components,6,lsqr,auto,6,83,83,0.5789473684210527,0.2727272727272727,0.8670360110803323
csp_components,6,lsqr,auto,6,84,84,0.6590909090909091,0.6666666666666666,0.751552795031056
csp_components,6,lsqr,auto,6,85,85,0.5454545454545454,0.6774193548387096,0.9585921325051759
csp_components,6,lsqr,auto,6,86,86,0.7727272727272727,0.7368421052631579,0.8985507246376812
csp_components,6,lsqr,auto,6,87,87,0.5333333333333333,0.6557377049180327,0.5573122529644269
csp_components,6,lsqr,auto,6,88,88,0.5272727272727272,0.3157894736842105,0.6190476190476192
csp_components,6,lsqr,auto,6,89,89,0.5777777777777777,0.6666666666666666,0.7182539682539683
csp_components,6,lsqr,auto,6,90,90,0.4888888888888889,0.5106382978723404,0.5592885375494071
csp_components,6,lsqr,auto,6,91,91,0.5,0.6666666666666666,0.7561983471074379
csp_components,6,lsqr,auto,6,92,92,0.5714285714285714,0.3684210526315789,0.6897435897435897
csp_components,6,lsqr,auto,6,93,93,0.8888888888888888,0.8888888888888888,0.9110671936758893
csp_components,6,lsqr,auto,6,94,94,0.9772727272727273,0.9787234042553191,1.0
csp_components,6,lsqr,auto,6,95,95,0.35714285714285715,0.5,0.5989583333333334
csp_components,6,lsqr,auto,6,96,96,0.42857142857142855,0.6,0.5442176870748299
csp_components,6,lsqr,auto,6,97,97,0.5,0.0,0.6053719008264463
csp_components,6,lsqr,auto,6,98,98,0.4888888888888889,0.5964912280701754,0.525691699604743
csp_components,6,lsqr,auto,6,99,99,0.4883720930232558,0.3888888888888889,0.5714285714285715
csp_components,6,lsqr,auto,6,100,100,0.5555555555555556,0.5555555555555556,0.5771604938271605
csp_components,6,lsqr,auto,6,101,101,0.4888888888888889,0.0,0.6264822134387351
