trial_number,temporal_filters,depth_multiplier,kernel_length,dropout_rate,learning_rate,batch_size,epochs,weight_decay,validation_fraction,early_stopping_patience,lr_scheduler_patience,lr_scheduler_factor,use_class_weight,seed,fold,subject,accuracy,f1_score,roc_auc,support,train_time_sec,inference_time_sec,inference_ms_per_sample,model_size_mb,num_parameters,train_memory_delta_mb,peak_gpu_memory_mb,final_train_loss,best_train_loss,best_val_loss,best_epoch,stopped_epoch
2,8,2,32,0.25,0.0019938932020194073,32,75,0.0001,0.1,5,3,0.7,False,42,21,21,0.5555555555555556,0.6774193548387097,0.8591269841269842,45,5.402353105018847,0.00323105399729684,0.07180119993992978,0.00611114501953125,1602,0.0,40.78955078125,0.5967969061298803,0.6170744051535925,0.58198787967364,5,10
2,8,2,32,0.25,0.0019938932020194073,32,75,0.0001,0.1,5,3,0.7,False,42,22,22,0.5333333333333333,0.5116279069767442,0.5988142292490118,45,9.696973756013904,0.0032179930130951107,0.07151095584655802,0.00611114501953125,1602,0.0,40.78955078125,0.575894165671233,0.5840175330187335,0.5950427770614624,13,18
2,8,2,32,0.25,0.0019938932020194073,32,75,0.0001,0.1,5,3,0.7,False,42,23,23,0.6363636363636364,0.7037037037037037,0.8099173553719008,44,5.980686516966671,0.002814941050019115,0.0639759329549799,0.00611114501953125,1602,0.109375,40.78955078125,0.5975263929276755,0.6135901519746492,0.608260836203893,6,11
2,8,2,32,0.25,0.0019938932020194073,32,75,0.0001,0.1,5,3,0.7,False,42,24,24,0.6666666666666666,0.7692307692307692,0.7272727272727272,18,13.265698937000707,0.0018960430170409381,0.105335723168941,0.00611114501953125,1602,0.06640625,40.78955078125,0.569751419070968,0.5735587869819841,0.605785604317983,19,24
2,8,2,32,0.25,0.0019938932020194073,32,75,0.0001,0.1,5,3,0.7,False,42,25,25,0.7777777777777778,0.7727272727272727,0.8675889328063241,45,7.60974917904241,0.003236222022678703,0.07191604494841564,0.00611114501953125,1602,0.0,40.78955078125,0.579131558311708,0.5929941261808077,0.5802390495936076,9,14
2,8,2,32,0.25,0.0019938932020194073,32,75,0.0001,0.1,5,3,0.7,False,42,26,26,0.6444444444444445,0.42857142857142855,0.9087301587301587,45,5.961901628004853,0.0032397829927504063,0.0719951776166757,0.00611114501953125,1602,0.0,40.78955078125,0.5936649195624121,0.6172989311091828,0.5962011357148488,6,11
2,8,2,32,0.25,0.0019938932020194073,32,75,0.0001,0.1,5,3,0.7,False,42,27,27,0.5111111111111111,0.6206896551724137,0.6758893280632411,45,7.9833650380023755,0.006511135958135128,0.14469191018078062,0.00611114501953125,1602,0.0,40.78955078125,0.5896778727571169,0.6002709066325967,0.5793394247690836,8,13
2,8,2,32,0.25,0.0019938932020194073,32,75,0.0001,0.1,5,3,0.7,False,42,28,28,0.5333333333333333,0.4878048780487805,0.5533596837944664,45,16.512742516992148,0.003754720964934677,0.08343824366521503,0.00611114501953125,1602,0.0078125,40.78955078125,0.5578288144686006,0.5724819559942592,0.583451783657074,20,25
2,8,2,32,0.25,0.0019938932020194073,32,75,0.0001,0.1,5,3,0.7,False,42,29,29,0.9111111111111111,0.9166666666666666,0.9841897233201581,45,12.58406963199377,0.004091005015652627,0.09091122257005838,0.00611114501953125,1602,0.0,40.78955078125,0.5769531471711217,0.5890923420136626,0.5715814630190531,14,19
2,8,2,32,0.25,0.0019938932020194073,32,75,0.0001,0.1,5,3,0.7,False,42,30,30,0.7333333333333333,0.7142857142857143,0.7440476190476191,45,9.913768371974584,0.003696054976899177,0.08213455504220393,0.00611114501953125,1602,0.0,40.78955078125,0.5812834099386678,0.5951655362591599,0.5881624301274617,10,15
