trial_number,penalty,C,solver,class_weight,l1_ratio,csp_components,fold,subject,accuracy,f1_score,roc_auc,support
8,elasticnet,2.1386921469346167,saga,balanced,0.8,6,79,79,0.675,0.5517241379310345,0.725,40
8,elasticnet,2.1386921469346167,saga,balanced,0.8,6,80,80,0.5111111111111111,0.0,0.6185770750988142,45
8,elasticnet,2.1386921469346167,saga,balanced,0.8,6,81,81,0.4888888888888889,0.0,0.8399209486166008,45
8,elasticnet,2.1386921469346167,saga,balanced,0.8,6,82,82,0.5333333333333333,0.676923076923077,0.7588932806324111,45
8,elasticnet,2.1386921469346167,saga,balanced,0.8,6,83,83,0.5789473684210527,0.2727272727272727,0.8698060941828254,38
8,elasticnet,2.1386921469346167,saga,balanced,0.8,6,84,84,0.6818181818181818,0.6956521739130435,0.7494824016563147,44
8,elasticnet,2.1386921469346167,saga,balanced,0.8,6,85,85,0.5454545454545454,0.6774193548387096,0.9606625258799172,44
8,elasticnet,2.1386921469346167,saga,balanced,0.8,6,86,86,0.7954545454545454,0.7804878048780488,0.8985507246376812,44
8,elasticnet,2.1386921469346167,saga,balanced,0.8,6,87,87,0.5111111111111111,0.6451612903225806,0.5632411067193677,45
8,elasticnet,2.1386921469346167,saga,balanced,0.8,6,88,88,0.509090909090909,0.3076923076923077,0.6190476190476191,55
8,elasticnet,2.1386921469346167,saga,balanced,0.8,6,89,89,0.6444444444444445,0.6923076923076923,0.7162698412698413,45
8,elasticnet,2.1386921469346167,saga,balanced,0.8,6,90,90,0.5333333333333333,0.5714285714285714,0.5533596837944663,45
8,elasticnet,2.1386921469346167,saga,balanced,0.8,6,91,91,0.5,0.6666666666666666,0.7623966942148761,44
8,elasticnet,2.1386921469346167,saga,balanced,0.8,6,92,92,0.5714285714285714,0.3684210526315789,0.6884615384615385,56
8,elasticnet,2.1386921469346167,saga,balanced,0.8,6,93,93,0.8888888888888888,0.8888888888888888,0.9110671936758893,45
