trial_number,n_neighbors,weights,metric,p,csp_components,fold,subject,accuracy,f1_score,roc_auc,support
1,11,uniform,minkowski,1,6,30,30,0.5333333333333333,0.2222222222222222,0.5565476190476191,45
1,11,uniform,minkowski,1,6,31,31,0.6222222222222222,0.6666666666666666,0.7430830039525691,45
1,11,uniform,minkowski,1,6,32,32,0.5681818181818182,0.5957446808510638,0.6459627329192547,44
1,11,uniform,minkowski,1,6,33,33,0.6888888888888889,0.5882352941176471,0.8359683794466404,45
1,11,uniform,minkowski,1,6,34,34,0.7111111111111111,0.7450980392156863,0.8581349206349207,45
1,11,uniform,minkowski,1,6,35,35,0.4222222222222222,0.38095238095238093,0.4288537549407115,45
1,11,uniform,minkowski,1,6,36,36,0.5,0.5416666666666666,0.47623966942148754,44
1,11,uniform,minkowski,1,6,37,37,0.5111111111111111,0.0,0.45454545454545453,45
1,11,uniform,minkowski,1,6,38,38,0.5333333333333333,0.43243243243243246,0.5405138339920948,45
1,11,uniform,minkowski,1,6,39,39,0.38636363636363635,0.47058823529411764,0.3799171842650103,44
1,11,uniform,minkowski,1,6,40,40,0.6222222222222222,0.6222222222222222,0.5753968253968255,45
1,11,uniform,minkowski,1,6,41,41,0.6,0.5263157894736842,0.6180555555555556,45
1,11,uniform,minkowski,1,6,42,42,0.8,0.8085106382978723,0.8675889328063242,45
1,11,uniform,minkowski,1,6,43,43,0.5555555555555556,0.47368421052631576,0.5128458498023715,45
1,11,uniform,minkowski,1,6,44,44,0.5862068965517241,0.5384615384615384,0.6690476190476191,29
1,11,uniform,minkowski,1,6,45,45,0.5555555555555556,0.5,0.6106719367588933,45
1,11,uniform,minkowski,1,6,46,46,0.4666666666666667,0.5,0.48023715415019763,45
1,11,uniform,minkowski,1,6,47,47,0.5555555555555556,0.5833333333333334,0.5932539682539683,45
1,11,uniform,minkowski,1,6,48,48,0.7058823529411765,0.7058823529411765,0.6928571428571427,17
1,11,uniform,minkowski,1,6,49,49,0.7555555555555555,0.7441860465116279,0.8201581027667985,45
1,11,uniform,minkowski,1,6,50,50,0.6444444444444445,0.68,0.7223320158102766,45
1,11,uniform,minkowski,1,6,51,51,0.5111111111111111,0.0,0.4900793650793651,45
1,11,uniform,minkowski,1,6,52,52,0.7073170731707317,0.625,0.7787081339712919,41
1,11,uniform,minkowski,1,6,53,53,0.5116279069767442,0.36363636363636365,0.48376623376623373,43
1,11,uniform,minkowski,1,6,54,54,0.6153846153846154,0.6808510638297872,0.7663043478260869,39
1,11,uniform,minkowski,1,6,55,55,0.7777777777777778,0.7368421052631579,0.8952569169960475,45
1,11,uniform,minkowski,1,6,56,56,0.7272727272727273,0.7142857142857143,0.8078512396694214,44
1,11,uniform,minkowski,1,6,57,57,0.6666666666666666,0.6666666666666666,0.6686507936507936,45
1,11,uniform,minkowski,1,6,58,58,0.5555555555555556,0.47368421052631576,0.5615079365079365,45
1,11,uniform,minkowski,1,6,59,59,0.4888888888888889,0.25806451612903225,0.45734126984126977,45
