trial_number,cov_estimator,ts_metric,C,solver,class_weight,fold,subject,accuracy,f1_score,roc_auc,support
0,oas,riemann,0.36579328632390673,saga,balanced,20,20,0.5333333333333333,0.5116279069767442,0.6185770750988142,45
0,oas,riemann,0.36579328632390673,saga,balanced,21,21,0.6444444444444445,0.6190476190476191,0.6765873015873016,45
0,oas,riemann,0.36579328632390673,saga,balanced,22,22,0.6666666666666666,0.6511627906976745,0.6818181818181819,45
0,oas,riemann,0.36579328632390673,saga,balanced,23,23,0.7272727272727273,0.7692307692307693,0.8925619834710743,44
0,oas,riemann,0.36579328632390673,saga,balanced,24,24,0.6666666666666666,0.7857142857142857,0.8181818181818181,18
0,oas,riemann,0.36579328632390673,saga,balanced,25,25,0.5777777777777777,0.6666666666666666,0.6956521739130436,45
0,oas,riemann,0.36579328632390673,saga,balanced,26,26,0.7111111111111111,0.7636363636363637,0.8829365079365079,45
0,oas,riemann,0.36579328632390673,saga,balanced,27,27,0.4666666666666667,0.6,0.6225296442687747,45
0,oas,riemann,0.36579328632390673,saga,balanced,28,28,0.5555555555555556,0.3333333333333333,0.5592885375494071,45
0,oas,riemann,0.36579328632390673,saga,balanced,29,29,0.6888888888888889,0.7586206896551724,0.9881422924901186,45
0,oas,riemann,0.36579328632390673,saga,balanced,30,30,0.6222222222222222,0.6046511627906976,0.6865079365079366,45
0,oas,riemann,0.36579328632390673,saga,balanced,31,31,0.8,0.8163265306122449,0.9268774703557312,45
0,oas,riemann,0.36579328632390673,saga,balanced,32,32,0.8863636363636364,0.8979591836734694,0.9668737060041407,44
0,oas,riemann,0.36579328632390673,saga,balanced,33,33,0.7555555555555555,0.7755102040816326,0.8399209486166008,45
0,oas,riemann,0.36579328632390673,saga,balanced,34,34,0.7777777777777778,0.8275862068965517,0.9642857142857143,45
0,oas,riemann,0.36579328632390673,saga,balanced,35,35,0.6888888888888889,0.5625,0.7865612648221344,45
0,oas,riemann,0.36579328632390673,saga,balanced,36,36,0.4318181818181818,0.3902439024390244,0.5619834710743803,44
0,oas,riemann,0.36579328632390673,saga,balanced,37,37,0.5111111111111111,0.0,0.5237154150197629,45
0,oas,riemann,0.36579328632390673,saga,balanced,38,38,0.5777777777777777,0.3870967741935484,0.6205533596837944,45
0,oas,riemann,0.36579328632390673,saga,balanced,39,39,0.5681818181818182,0.5581395348837209,0.49482401656314695,44
0,oas,riemann,0.36579328632390673,saga,balanced,40,40,0.5333333333333333,0.6440677966101694,0.49404761904761907,45
0,oas,riemann,0.36579328632390673,saga,balanced,41,41,0.5555555555555556,0.3333333333333333,0.6805555555555556,45
0,oas,riemann,0.36579328632390673,saga,balanced,42,42,0.6666666666666666,0.5161290322580645,0.9367588932806323,45
0,oas,riemann,0.36579328632390673,saga,balanced,43,43,0.7777777777777778,0.8076923076923077,0.9347826086956523,45
0,oas,riemann,0.36579328632390673,saga,balanced,44,44,0.5862068965517241,0.4,0.8333333333333334,29
0,oas,riemann,0.36579328632390673,saga,balanced,45,45,0.6666666666666666,0.6808510638297872,0.7075098814229249,45
0,oas,riemann,0.36579328632390673,saga,balanced,46,46,0.5777777777777777,0.4864864864864865,0.7094861660079052,45
0,oas,riemann,0.36579328632390673,saga,balanced,47,47,0.5777777777777777,0.4864864864864865,0.5535714285714285,45
0,oas,riemann,0.36579328632390673,saga,balanced,48,48,0.5882352941176471,0.46153846153846156,0.9142857142857143,17
0,oas,riemann,0.36579328632390673,saga,balanced,49,49,0.7111111111111111,0.7719298245614035,0.9703557312252964,45
0,oas,riemann,0.36579328632390673,saga,balanced,50,50,0.5777777777777777,0.5128205128205128,0.4861660079051384,45
0,oas,riemann,0.36579328632390673,saga,balanced,51,51,0.4888888888888889,0.0,0.5119047619047619,45
0,oas,riemann,0.36579328632390673,saga,balanced,52,52,0.8048780487804879,0.7647058823529411,0.839712918660287,41
