parameter_name,parameter_value,F1,D,F2,kernel_length,dropout_rate,learning_rate,batch_size,epochs,weight_decay,fold,subject,accuracy,f1_score,roc_auc,train_time_sec,inference_time_sec,inference_ms_per_sample,model_size_mb,num_parameters,train_memory_delta_mb,peak_gpu_memory_mb
D,1,8,1,8,64,0.25,0.001,32,20,0.0,52,52,0.5365853658536586,0.0,0.923444976076555,9.117954683999415,0.002311626994924154,0.05638114621766229,0.011692047119140625,1130,0.01171875,25.77734375
D,1,8,1,8,64,0.25,0.001,32,20,0.0,53,53,0.46511627906976744,0.0,0.4588744588744589,9.40679454000201,0.0024440479974146,0.05683832552126977,0.011692047119140625,1130,0.01171875,25.7783203125
D,1,8,1,8,64,0.25,0.001,32,20,0.0,54,54,0.6153846153846154,0.6153846153846154,0.7418478260869565,9.70136827499664,0.0020633399981306866,0.05290615379822273,0.011692047119140625,1130,0.0,25.779296875
D,1,8,1,8,64,0.25,0.001,32,20,0.0,55,55,0.4888888888888889,0.6567164179104478,0.8972332015810276,9.577965103999304,0.0021945720000076108,0.04876826666683579,0.011692047119140625,1130,0.015625,25.7802734375
D,1,8,1,8,64,0.25,0.001,32,20,0.0,56,56,0.5681818181818182,0.2962962962962963,0.8739669421487604,9.675577825997607,0.0022966110045672394,0.05219570464925544,0.011692047119140625,1130,0.0078125,25.78125
D,1,8,1,8,64,0.25,0.001,32,20,0.0,57,57,0.4666666666666667,0.6363636363636364,0.5238095238095237,9.24161249899771,0.0021787180012324825,0.04841595558294406,0.011692047119140625,1130,0.01171875,25.7822265625
D,1,8,1,8,64,0.25,0.001,32,20,0.0,58,58,0.4666666666666667,0.6363636363636364,0.6130952380952381,9.193851392003126,0.0021187240054132417,0.04708275567584982,0.011692047119140625,1130,0.015625,25.783203125
D,1,8,1,8,64,0.25,0.001,32,20,0.0,59,59,0.4888888888888889,0.30303030303030304,0.498015873015873,9.210785120005312,0.0033771360031096265,0.07504746673576948,0.011692047119140625,1130,0.01171875,25.7841796875
D,1,8,1,8,64,0.25,0.001,32,20,0.0,60,60,0.7954545454545454,0.8,0.8925619834710743,9.39985812100349,0.0022498869948321953,0.05113379533709535,0.011692047119140625,1130,0.015625,25.78515625
D,1,8,1,8,64,0.25,0.001,32,20,0.0,61,61,0.6046511627906976,0.41379310344827586,0.7705627705627706,9.131295047001913,0.0021707560008508153,0.05048269769420501,0.011692047119140625,1130,0.01171875,25.7861328125
D,1,8,1,8,64,0.25,0.001,32,20,0.0,62,62,0.9333333333333333,0.9361702127659575,0.9782608695652174,9.132977678003954,0.0022641340037807822,0.05031408897290627,0.011692047119140625,1130,0.01171875,25.787109375
D,1,8,1,8,64,0.25,0.001,32,20,0.0,63,63,0.5581395348837209,0.5957446808510638,0.5800865800865801,9.143403675996524,0.0021572770056081936,0.05016923268856264,0.011692047119140625,1130,0.0234375,25.7880859375
D,1,8,1,8,64,0.25,0.001,32,20,0.0,64,64,0.4888888888888889,0.6567164179104478,0.6758893280632412,9.362730164000823,0.002384751998761203,0.05299448886136007,0.011692047119140625,1130,0.01171875,25.7890625
D,1,8,1,8,64,0.25,0.001,32,20,0.0,65,65,0.8888888888888888,0.8837209302325582,0.8948412698412698,9.357755953999003,0.0022816650016466156,0.05070366670325813,0.011692047119140625,1130,0.01171875,25.7900390625
D,1,8,1,8,64,0.25,0.001,32,20,0.0,66,66,0.4888888888888889,0.0,0.5869565217391304,9.312533740005165,0.0021721529992646538,0.048270066650325634,0.011692047119140625,1130,0.015625,25.791015625
D,1,8,1,8,64,0.25,0.001,32,20,0.0,67,67,0.5111111111111111,0.6764705882352942,0.6027667984189724,9.176009718998102,0.0021417019961518236,0.04759337769226274,0.011692047119140625,1130,0.01171875,25.7919921875
D,1,8,1,8,64,0.25,0.001,32,20,0.0,68,68,0.5111111111111111,0.08333333333333333,0.691699604743083,9.40169202999823,0.0021044759996584617,0.04676613332574359,0.011692047119140625,1130,0.01953125,25.79296875
D,1,8,1,8,64,0.25,0.001,32,20,0.0,69,69,0.5333333333333333,0.5882352941176471,0.5753968253968254,9.111514980999345,0.002102102000208106,0.04671337778240235,0.011692047119140625,1130,0.015625,25.7939453125
D,1,8,1,8,64,0.25,0.001,32,20,0.0,70,70,0.7333333333333333,0.7142857142857143,0.83399209486166,9.119779093998659,0.002193804000853561,0.048751200018968016,0.011692047119140625,1130,0.015625,25.794921875
